month,events,price_index
2021-01-01,1,1.08
2021-02-01,14,1.11
2021-03-01,115,1.17
2021-04-01,55,1.21
2021-05-01,73,1.29
2021-06-01,39,1.28
2021-07-01,57,1.34
2021-08-01,46,1.42
2021-09-01,82,1.51
2021-10-01,106,1.6
2021-11-01,159,1.6
2021-12-01,110,1.62
2022-01-01,110,1.67
2022-02-01,108,1.76
2022-03-01,97,1.9
2022-04-01,104,1.9
2022-05-01,106,1.93
2022-06-01,127,2.06
2022-07-01,104,2.09
2022-08-01,145,2.31
2022-09-01,101,2.57
2022-10-01,191,2.49
2022-11-01,213,2.5
2022-12-01,143,2.43
2023-01-01,159,2.41
2023-02-01,197,2.49
2023-03-01,217,2.6
2023-04-01,157,2.63
2023-05-01,159,2.72
2023-06-01,182,2.79
2023-07-01,164,2.95
2023-08-01,185,3.17
2023-09-01,168,3.24
2023-10-01,192,3.21
2023-11-01,184,3.43
2023-12-01,121,3.61