iso3c,pop,pg
IND,1476625576,4.66
CHN,1402844672,2.01
USA,343406112,1.22
IDN,287886782,4.43
PAK,259299791,7.1
NGA,242431832,9.33
BRA,213562666,2.64
BGD,177818044,4.51
RUS,142530496,0.91
ETH,138902185,7.78
MEX,132997658,2.52
JPN,122408104,1.04
EGY,120101175,3.74
PHL,117724471,5.08
COD,116452162,22.63
VNM,102177431,2.26
IRN,93168497,3.34
TUR,85983224,1.17
DEU,82618680,1.05
TZA,72563780,9.55
THA,71559614,1.95
GBR,69949520,0.78
FRA,68722448,0.59
ZAF,65453084,5.72
KEN,58636412,9.2
ITA,58480376,1.33
MMR,55184819,6.22
COL,53936226,4.5
SDN,53282719,9.3
UGA,52761469,11.66
KOR,51549772,0.58
ESP,48753012,1.22
DZA,48028334,2.94
IRQ,48007437,2.87
ARG,46003734,1.98
AFG,45047069,10.73
YEM,42961653,15.96
CAN,41939012,0.59
AGO,40215179,11.95
UKR,39535849,2.16
MAR,38762441,3.31
UZB,37724223,2.27
MOZ,36639851,24.25
SAU,36523804,0.65
MYS,36385115,0.99
POL,35995136,0.83
GHA,35697557,9.63
PER,34922148,3.51
MDG,33522052,13.8
CIV,33494346,6.01
CMR,30640817,7.1
NPL,29629410,3.57
NER,28814878,10.2
VEN,28633711,2.95
AUS,27684434,1.01
PRK,26633691,4.31
SYR,26472497,7.68
MLI,25932275,8.06
BFA,24601700,8.95
MWI,22785535,17.09
ZMB,22521915,21.41
LKA,22134006,3.95
TCD,21560380,9.46
KAZ,21083626,2.04
SOM,20305907,15.1
CHL,19945850,1.53
SEN,19366548,5.92
GTM,18967978,4.4
ROU,18844844,1.22
ECU,18444506,3.03
NLD,18180244,0.46
KHM,18051219,4.74
ZWE,17273580,10.35
GIN,15441993,4.8
BEN,15170419,6.78
RWA,14889693,8.12
BDI,14729157,15.74
BOL,12749291,2.44
SSD,12436037,26.5
TUN,12415138,2.44
HTI,12037506,12.11
BEL,11888588,0.52
DOM,11609500,1.96
JOR,11589532,2.42
ARE,11434262,0.35
HND,11184760,6
TJK,10978599,4.11
PNG,10947848,11.33
CUB,10892659,2.17
CZE,10737599,0.77
PRT,10653484,1.05
SWE,10646958,1.07
AZE,10321681,1.69
GRC,10319461,1.23
ISR,10247303,1.18
TGO,9930918,7.76
HUN,9468968,1.47
AUT,9157493,0.8
CHE,9079037,0.47
BLR,9015312,1.32
SLE,8996745,8.17
LAO,7974017,4.98
TKM,7736632,3.06
LBY,7539851,2.62
HKG,7487520,0.44
KGZ,7436154,4.07
NIC,7097329,3.53
PRY,7095279,2.35
COG,6637785,13.48
SRB,6493474,1.76
SLV,6391253,3.3
BGR,6351869,1.21
SGP,6104208,0.26
DNK,6010438,0.7
LBN,5897467,4.27
LBR,5853949,8.22
CAF,5698984,18.52
OMN,5671458,1.15
NOR,5627029,0.52
FIN,5612234,0.67
IRL,5492480,0.57
PSE,5483736,3.49
MRT,5461319,5.08
SVK,5375913,1.42
NZL,5355784,0.75
CRI,5174789,1.63
KWT,5049352,0.85
PAN,4625718,2.3
HRV,3815679,0.92
GEO,3697351,3.51
ERI,3682669,7.68
MNG,3606837,2.2
URY,3382537,1.31
PRI,3173878,1.02
NAM,3153246,6.78
BIH,3114242,1.77
ARM,2993355,3.35
QAT,2968544,0.47
GMB,2884079,6.08
JAM,2833403,2.41
LTU,2822205,1.44
GAB,2647399,3.57
BWA,2603388,5.9
LSO,2389336,11.76
MDA,2340095,2.32
ALB,2334281,2.01
GNB,2297808,8.37
SVN,2121991,0.6
GNQ,1984468,5.08
LVA,1830743,1.21
MKD,1805082,2.31
BHR,1652147,0.63
XKX,1578910,5.66
TLS,1436923,9.8
CYP,1382334,0.57
TTO,1373370,1.25
EST,1346087,0.99
SWZ,1269859,9.71
MUS,1240727,2.22
DJI,1199459,6.58
FJI,937282,4.04
COM,899010,4.66
SLB,858288,10.75
GUY,840890,0.66
BTN,802214,1.69
LUX,690822,0.41
MAC,679364,0.3
SUR,645256,2.43
MNE,610662,1.91
MLT,575381,0.65
MDV,531517,1.61
CPV,529630,4.3
BRN,469775,0.6
BLZ,428644,2.21
BHS,404628,1.51
ISL,394370,0.52
VUT,342564,7.08
NCL,297892,1.07
PYF,283076,0.88
BRB,282724,2.62
STP,244994,5.59
WSM,220528,3.22
LCA,180488,1.32
GUM,170185,0.92
CHI,168715,1.25
CUW,155952,1.15
KIR,138445,3.59
SYC,125619,1.68
GRD,117362,2.22
FSM,114183,8.22
ABW,108009,1.27
TON,103291,2.48
VIR,102634,0.99
VCT,99245,3.5
ATG,94626,1.95
IMN,84055,1.21
AND,83753,0.53
CYM,77196,0.63
DMA,65511,3.74
BMU,64459,0.52
FRO,55792,1.12
TCA,47148,0.96
KNA,46992,1.96
ASM,45319,1.1
SXM,44447,1.2
MNP,42914,0.77
LIE,40955,1.27
GIB,40867,0.74
VGB,39936,1.56
MCO,38087,0.56
MHL,35075,2.71
SMR,34001,0.39
MAF,23898,0.99
PLW,17614,2.42
NRU,12101,4.24
TUV,9362,3.06