region,indicator,indicator_not_avail_pop,pop,share
EAS,birth_reg,29069244,120787920,24.1
EAS,stunting,71675579,120787920,59.3
EAS,learn_assess,239426404,318288031,75.2
ECS,birth_reg,295789,50362792,0.6
ECS,stunting,35363961,50362792,70.2
ECS,learn_assess,15400887,112443909,13.7
LCN,birth_reg,3016187,47448477,6.4
LCN,stunting,12981208,47448477,27.4
LCN,learn_assess,12773846,102988155,12.4
MEA,birth_reg,8461443,49057749,17.2
MEA,stunting,16946909,49057749,34.5
MEA,learn_assess,40378042,100700463,40.1
NAC,birth_reg,2723,20099039,0
NAC,stunting,1920123,20099039,9.6
NAC,learn_assess,6256,44973782,0
SAS,birth_reg,44719151,174054898,25.7
SAS,stunting,31820055,174054898,18.3
SAS,learn_assess,266225276,358231213,74.3
SSF,birth_reg,109616324,189897087,57.7
SSF,stunting,36211246,189897087,19.1
SSF,learn_assess,204141518,327087337,62.4