year,mean_value,lower,upper
1951,0.926,0.897,0.97
1952,1.113,1.089,1.154
1953,1.152,1.132,1.205
1954,1.234,1.213,1.288
1955,1.183,1.165,1.234
1956,1.27,1.248,1.325
1957,1.247,1.228,1.312
1958,1.208,1.192,1.275
1959,1.196,1.163,1.24
1960,1.53,1.468,1.642
1961,1.543,1.484,1.652
1962,1.502,1.448,1.61
1963,1.565,1.505,1.684
1964,1.627,1.536,1.719
1965,1.319,1.28,1.377
1966,1.327,1.293,1.384
1967,1.305,1.279,1.361
1968,1.183,1.167,1.233
1969,1.113,1.101,1.165
1970,1.143,1.106,1.202
1971,1.136,1.111,1.183
1972,1.213,1.177,1.267
1973,1.283,1.25,1.33
1974,1.397,1.35,1.442
1975,1.371,1.349,1.436
1976,1.4,1.375,1.468
1977,1.386,1.35,1.454
1978,1.398,1.363,1.461
1979,1.217,1.188,1.271
1980,1.4,1.368,1.463
1981,1.367,1.333,1.42
1982,1.212,1.172,1.252
1983,1.129,1.082,1.163
1984,1.184,1.137,1.226
1985,0.954,0.914,0.984
1986,0.916,0.889,0.946
1987,0.999,0.978,1.041
1988,1.102,1.083,1.153
1989,1.034,1.014,1.081
1990,1.292,1.24,1.358
1991,1.13,1.066,1.197
1992,1.125,1.047,1.185
1993,1.036,0.957,1.097
1994,1.146,1.082,1.218
1995,0.976,0.936,1.017
1996,1.032,0.997,1.076
1997,1.087,1.058,1.122
1998,1.137,1.124,1.188
1999,1.156,1.146,1.211
2000,1.317,1.297,1.375
2001,1.352,1.325,1.405
2002,1.426,1.389,1.467
2003,1.445,1.42,1.494
2004,1.554,1.534,1.62
2005,1.477,1.457,1.539
2006,1.577,1.557,1.652
2007,1.602,1.582,1.691
2008,1.632,1.616,1.732
2009,1.385,1.358,1.444
2010,1.323,1.305,1.372
2011,1.201,1.182,1.244
2012,1.104,1.083,1.142
2013,1.041,1.001,1.076
2014,1.154,1.11,1.225
2015,1.023,1.001,1.108
2016,1.004,0.976,1.07
2017,0.902,0.882,0.979
2018,0.916,0.892,0.992
2019,0.901,0.88,0.986
2020,0.437,0.394,0.486
2021,0.37,0.335,0.426
2022,0.609,0.571,0.675
2023,0.598,0.557,0.675