year,pop_without_electricity,iso3c
2000,158009346,EAS
2001,150461235,EAS
2002,142662732,EAS
2003,139352921,EAS
2004,125132532,EAS
2005,133109591,EAS
2006,112137210,EAS
2007,113139587,EAS
2008,101920179,EAS
2009,108633451,EAS
2010,97163331,EAS
2011,87387865,EAS
2012,83188251,EAS
2013,78668082,EAS
2014,75526062,EAS
2015,68946191,EAS
2016,67636560,EAS
2017,52924405,EAS
2018,54091014,EAS
2019,49584426,EAS
2020,51587157,EAS
2021,43274985,EAS
2022,42022840,EAS
2023,37561439,EAS
2000,7603376,ECS
2001,7294317,ECS
2002,6918515,ECS
2003,6783153,ECS
2004,6673606,ECS
2005,6240695,ECS
2006,6140654,ECS
2007,5620395,ECS
2008,5221874,ECS
2009,4643885,ECS
2010,3033195,ECS
2011,2985429,ECS
2012,1554658,ECS
2013,1350402,ECS
2014,1108208,ECS
2015,7533090,ECS
2016,1523995,ECS
2017,339820,ECS
2018,265379,ECS
2019,456586,ECS
2020,225949,ECS
2021,114118,ECS
2022,21617,ECS
2023,0,ECS
2000,43090720,LCN
2001,40501827,LCN
2002,39497153,LCN
2003,39557266,LCN
2004,37400074,LCN
2005,36055798,LCN
2006,32363756,LCN
2007,31420549,LCN
2008,27469873,LCN
2009,26766150,LCN
2010,24242400,LCN
2011,22631979,LCN
2012,20570836,LCN
2013,19074206,LCN
2014,18230466,LCN
2015,16839741,LCN
2016,15812712,LCN
2017,14491504,LCN
2018,14328233,LCN
2019,12874720,LCN
2020,11983574,LCN
2021,11401145,LCN
2022,9373196,LCN
2023,10553474,LCN
2000,84953237,MEA
2001,83634642,MEA
2002,83908469,MEA
2003,81069641,MEA
2004,80633506,MEA
2005,77207308,MEA
2006,69154798,MEA
2007,73617591,MEA
2008,69773596,MEA
2009,67313710,MEA
2010,57457173,MEA
2011,57321225,MEA
2012,51441420,MEA
2013,44343049,MEA
2014,38997883,MEA
2015,44052705,MEA
2016,32666562,MEA
2017,27519200,MEA
2018,34825755,MEA
2019,28071928,MEA
2020,26721085,MEA
2021,25845529,MEA
2022,30862569,MEA
2023,27499988,MEA
2000,0,NAC
2001,0,NAC
2002,0,NAC
2003,0,NAC
2004,0,NAC
2005,0,NAC
2006,0,NAC
2007,0,NAC
2008,0,NAC
2009,0,NAC
2010,0,NAC
2011,0,NAC
2012,0,NAC
2013,0,NAC
2014,0,NAC
2015,0,NAC
2016,0,NAC
2017,0,NAC
2018,0,NAC
2019,0,NAC
2020,0,NAC
2021,0,NAC
2022,0,NAC
2023,0,NAC
2000,531845073,SAS
2001,521590567,SAS
2002,517743510,SAS
2003,488479511,SAS
2004,508177569,SAS
2005,457120045,SAS
2006,463671637,SAS
2007,423007352,SAS
2008,394333720,SAS
2009,382682184,SAS
2010,372114955,SAS
2011,329843645,SAS
2012,318067247,SAS
2013,285386078,SAS
2014,258705323,SAS
2015,205966122,SAS
2016,181003890,SAS
2017,134862487,SAS
2018,82108060,SAS
2019,72776432,SAS
2020,58205434,SAS
2021,10759274,SAS
2022,14809112,SAS
2023,9744102,SAS
2000,491412136,SSF
2001,501349519,SSF
2002,507476659,SSF
2003,505100980,SSF
2004,520309883,SSF
2005,534595580,SSF
2006,534885442,SSF
2007,547146824,SSF
2008,563405664,SSF
2009,577378464,SSF
2010,587279639,SSF
2011,580523837,SSF
2012,588365711,SSF
2013,592914795,SSF
2014,605991874,SSF
2015,614175533,SSF
2016,583004144,SSF
2017,599195634,SSF
2018,586132197,SSF
2019,592934710,SSF
2020,593129676,SSF
2021,583713235,SSF
2022,588094870,SSF
2023,581063715,SSF
2000,1316913890,WLD
2001,1304832106,WLD
2002,1298207037,WLD
2003,1260343471,WLD
2004,1278327170,WLD
2005,1244329017,WLD
2006,1218353497,WLD
2007,1193952298,WLD
2008,1162124906,WLD
2009,1167417845,WLD
2010,1141290693,WLD
2011,1080693980,WLD
2012,1063188122,WLD
2013,1021736612,WLD
2014,998559816,WLD
2015,957513381,WLD
2016,881647861,WLD
2017,829333051,WLD
2018,771750638,WLD
2019,756698801,WLD
2020,741852875,WLD
2021,675108286,WLD
2022,685184205,WLD
2023,666422718,WLD